Name,Beds,Baths,Price:,Deposit,Waitlist,Available Units,Size (sq feet),Link,Apartment,Image
3 Bed - 3 Bath B,3,3,1019.00,0,0,,,https://www.americancampus.com/student-apartments/tx/austin/crest-at-pearl/floor-plans/3-bed-3-bath-b,crest_at_pearl,https://www.americancampus.com/assets/675-crestatpearl/floorplans/Crest-at-Pearl-3-Bed-3-Bath-B-01.png?ext=.png
3 Bed - 3 Bath C,3,3,1039.00,0,0,,,https://www.americancampus.com/student-apartments/tx/austin/crest-at-pearl/floor-plans/3-bed-3-bath-c,crest_at_pearl,https://www.americancampus.com/assets/675-crestatpearl/floorplans/Crest-at-Pearl-3-bed-3-bath-C-01.png?ext=.png
2 Bed - 2 Bath A,2,2,1289.00,0,0,,,https://www.americancampus.com/student-apartments/tx/austin/crest-at-pearl/floor-plans/2-bed-2-bath-a,crest_at_pearl,https://www.americancampus.com/assets/675-crestatpearl/floorplans/Crest-at-Pearl-2-Bed-2-Bath-A-01.png?ext=.png
2 Bed - 2 Bath B ,2,2,1299.00,0,0,,,https://www.americancampus.com/student-apartments/tx/austin/crest-at-pearl/floor-plans/2-bed-2-bath-b,crest_at_pearl,https://www.americancampus.com/assets/675-crestatpearl/floorplans/Crest-at-Pearl-2-Bed-2-Bath-B-01.png?ext=.png
2 Bed - 2 Bath C ,2,2,1304.00,0,1,,,https://www.americancampus.com/student-apartments/tx/austin/crest-at-pearl/floor-plans/2-bed-2-bath-c,crest_at_pearl,https://www.americancampus.com/assets/675-crestatpearl/floorplans/675-2-2-C-Waitlist-FP-2-7-20-01-(1).png?ext=.png
2 Bed - 2 Bath D ,2,2,1329.00,0,1,,,https://www.americancampus.com/student-apartments/tx/austin/crest-at-pearl/floor-plans/2-bed-2-bath-d,crest_at_pearl,https://www.americancampus.com/assets/675-crestatpearl/675-2-2-D-Waitlist-FP-10-21-19.png?ext=.png
2 Bed - 2 Bath E ,2,2,1254.00,0,0,,,https://www.americancampus.com/student-apartments/tx/austin/crest-at-pearl/floor-plans/2-bed-2-bath-e,crest_at_pearl,https://www.americancampus.com/assets/675-crestatpearl/floorplans/Crest-at-Pearl-2-Bed-2-Bath-E-01.png?ext=.png
2 Bed - 2 Bath F ,2,2,1179.00,0,0,,,https://www.americancampus.com/student-apartments/tx/austin/crest-at-pearl/floor-plans/2-bed-2-bath-f,crest_at_pearl,https://www.americancampus.com/assets/675-crestatpearl/floorplans/Crest-at-Pearl-2-Bed-2-Bath-F-HORZ-01.png?ext=.png
2 Bed - 2 Bath G ,2,2,1199.00,0,0,,,https://www.americancampus.com/student-apartments/tx/austin/crest-at-pearl/floor-plans/2-bed-2-bath-g,crest_at_pearl,https://www.americancampus.com/assets/675-crestatpearl/floorplans/Crest-at-Pearl-2-Bed-2-Bath-G-01.png?ext=.png
2 Bed - 2 Bath H,2,2,1229.00,0,0,,,https://www.americancampus.com/student-apartments/tx/austin/crest-at-pearl/floor-plans/2-bed-2-bath-h,crest_at_pearl,https://www.americancampus.com/assets/675-crestatpearl/floorplans/Crest-at-Pearl-2-Bed-2-Bath-H-01.png?ext=.png
2 Bed - 1 Bath A ,2,1,1049.00,0,0,,,https://www.americancampus.com/student-apartments/tx/austin/crest-at-pearl/floor-plans/2-bed-1-bath-a,crest_at_pearl,https://www.americancampus.com/assets/675-crestatpearl/floorplans/Crest-at-Pearl-2-Bed-1-Bath-A-01.png?ext=.png
2 Bed - 1 Bath B ,2,1,1084.00,0,1,,,https://www.americancampus.com/student-apartments/tx/austin/crest-at-pearl/floor-plans/2-bed-1-bath-b,crest_at_pearl,https://www.americancampus.com/assets/675-crestatpearl/floorplans/675-2-1-B-Waitlist-FP-2-7-20-01.png?ext=.png
1 Bed - 1 Bath A ,1,1,1544.00,0,1,,,https://www.americancampus.com/student-apartments/tx/austin/crest-at-pearl/floor-plans/1-bed-1-bath-a,crest_at_pearl,https://www.americancampus.com/assets/675-crestatpearl/675-1-1-A-Waitlist-FP-01.png?ext=.png
1 Bed - 1 Bath B ,1,1,1844.00,0,1,,,https://www.americancampus.com/student-apartments/tx/austin/crest-at-pearl/floor-plans/1-bed-1-bath-b,crest_at_pearl,https://www.americancampus.com/assets/675-crestatpearl/floorplans/675-1-1-B-Waitlist-FP-3-31-20-01-(1).png?ext=.png
1 Bed - 1 Bath C,1,1,2149.00,0,1,,,https://www.americancampus.com/student-apartments/tx/austin/crest-at-pearl/floor-plans/1-bed-1-bath-c,crest_at_pearl,https://www.americancampus.com/assets/675-crestatpearl/floorplans/675-1-1-C-Waitlist-FP-10-21-19.png?ext=.png
